"","X","brand","model","year","price","transmission","fuelType","engineSize","kmpl","kilometraggio"
"15030",63431,"Skoda"," Fabia",2011,4402.2,"Manual","Petrol",1.2,19.136563876652,83619
"15031",63432,"Skoda"," Fabia",2013,3706.2,"Manual","Petrol",1.2,18.1145374449339,109154
"15032",63450,"Skoda"," Fabia",2019,14616,"Automatic","Petrol",1,21.1806167400881,1170
"15033",63453,"Skoda"," Fabia",2017,9604.8,"Manual","Other",1.2,21.1806167400881,47200
"15034",63456,"Skoda"," Fabia",2016,12760,"Automatic","Petrol",1.2,21.1806167400881,20475
"15035",63461,"Skoda"," Fabia",2013,8688.4,"Manual","Petrol",1.2,18.784140969163,45552
"15036",63462,"Skoda"," Fabia",2015,7528.4,"Manual","Petrol",1,21.1806167400881,47581
"15037",63466,"Skoda"," Fabia",2015,8700,"Automatic","Petrol",1.2,21.1806167400881,106235
"15038",63478,"Skoda"," Fabia",2016,11020,"Automatic","Petrol",1.2,21.1806167400881,39683
"15039",63485,"Skoda"," Fabia",2012,4286.2,"Manual","Diesel",1.6,23.7180616740088,83829
"15040",63489,"Skoda"," Fabia",2018,11576.8,"Manual","Petrol",1,21.6387665198238,26400
"15041",63491,"Skoda"," Fabia",2017,12156.8,"Automatic","Petrol",1,21.6387665198238,33760
"15042",63492,"Skoda"," Fabia",2019,17376.8,"Automatic","Petrol",1,21.1806167400881,12160
"15043",63493,"Skoda"," Fabia",2018,12736.8,"Automatic","Petrol",1,21.6387665198238,30720
"15044",63494,"Skoda"," Fabia",2017,7534.2,"Manual","Petrol",1,21.1806167400881,25600
"15045",63495,"Skoda"," Fabia",2016,8114.2,"Manual","Petrol",1.2,21.1806167400881,108800
"15046",63499,"Skoda"," Fabia",2017,11368,"Manual","Petrol",1,22.625550660793,19722
"15047",63500,"Skoda"," Fabia",2018,11600,"Manual","Petrol",1,22.625550660793,9544
"15048",63501,"Skoda"," Fabia",2016,12180,"Automatic","Petrol",1.2,21.1806167400881,53323
"15049",63507,"Skoda"," Fabia",2019,13682.2,"Manual","Petrol",1,21.6387665198238,9600
"15050",63511,"Skoda"," Fabia",2019,10666.2,"Manual","Petrol",1,20.3348017621145,13093
"15051",63513,"Skoda"," Fabia",2017,9042.2,"Manual","Petrol",1.2,21.1806167400881,36686
"15052",63516,"Skoda"," Fabia",2017,9280,"Manual","Petrol",1,22.625550660793,27920
"15053",63525,"Skoda"," Fabia",2016,9854.2,"Manual","Petrol",1.2,21.1806167400881,36800
"15054",63526,"Skoda"," Fabia",2015,8114.2,"Manual","Petrol",1,20.7224669603524,35200
"15055",63533,"Skoda"," Fabia",2016,11598.84,"Manual","Petrol",1.2,20.7577092511013,41267
"15056",63536,"Skoda"," Fabia",2015,11018.84,"Semi-Auto","Petrol",1.2,21.1806167400881,28960
"15057",63543,"Skoda"," Fabia",2009,1728.4,"Manual","Petrol",1.2,16.8810572687225,115942
"15058",63545,"Skoda"," Fabia",2019,17394.2,"Automatic","Petrol",1,21.1806167400881,11200
"15059",63549,"Skoda"," Fabia",2019,15056.8,"Manual","Other",1,22.625550660793,9600
"15060",63556,"Skoda"," Fabia",2016,8930.84,"Manual","Petrol",1,20.7224669603524,46720
"15061",63557,"Skoda"," Fabia",2017,8118.84,"Manual","Petrol",1,20.7224669603524,42798
